500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	25.20	11.788	1.45	3.35	31.47	0.582	0.371	0	0	0.8	1.03	0.2	-1	0	0	-11.8	25.20	
2	282.35	30.59	1.6	3.9	114.4	-0.482	1.515	0	0	1.4	4.25	1	-1	0	0	-17.45	282.35	
3	388.15	31.603	1	4.55	98.48	2.017	-0.712	0	0	0.68	2.68	0.2	-1	0	0	-37.29	388.15	
4	437.90	13.032	2.65	3.35	49.34	-3.19	-1.645	0	0	2.22	2.83	2.15	-1	0	0	-4.69	437.90	
5	507.35	14.397	1.15	0.7	14.18	-1.906	3.913	0	0	1.05	0.62	0.15	-1	0	0	-10.99	507.35	
6	843.00	51.528	1.25	6.2	239.94	1.184	-2.067	0	0	0.88	5.01	0.75	-1	0	0	-46.67	228.60	
7	891.05	32.686	2.35	5.05	160.76	0.793	-0.361	0	0	2.16	5.21	1.9	-1	0	0	-12.11	276.65	
8	965.25	16.795	1.15	3	47.51	-1.685	-0.482	0	0	1.03	0.99	0.45	-1	0	0	-13.03	350.85	
9	1117.50	28.784	2.85	4.45	139.83	1.084	1.886	0	0	2.35	5.64	2	-1	0	0	-9.78	503.10	
10	1229.15	18.43	2.8	0.95	37.68	-0.833	0.04	0	0	2.52	0.29	0.15	-1	0	0	-5.86	128.35	
11	1334.90	27.349	0.7	1.95	47.2	-2.819	-1.675	0	0	0.41	1.84	0.45	-1	0	0	-53.78	234.10	
12	1503.80	22.925	2.2	2.35	68.44	-0.291	-1.816	0	0	2.04	2.95	1.65	-1	0	0	-8.99	403.00	
13	1510.65	15.3	2.1	0.4	26.77	-2.277	-1.816	0	0	2.06	0.24	0.1	-1	0	0	-5.96	409.85	
14	1723.25	29.917	3.3	5.5	154.19	-1.084	4.786	0	0	1.59	5.11	1.25	-1	0	0	-15.04	8.05	
15	2157.15	22.052	1.65	3.85	70.28	-0.13	2.478	0	0	1.53	2.09	1	-1	0	0	-11.54	441.95	
16	2311.05	16.203	3.35	2.15	56.39	0.06	3.22	0	0	3.21	2.69	2.4	-1	0	0	-4.04	595.85	
17	2394.80	45.167	1.4	5.3	205.65	-0.702	3.15	0	0	1.15	5.31	0.95	-1	0	0	-31.43	65.20	
18	2439.15	32.737	1.4	3.95	113.33	-2.508	0.712	0	0	1.28	3.68	1.1	-1	0	0	-20.49	109.55	
19	2517.40	18.631	1.6	2.6	51.01	0.572	1.906	0	0	1.21	1.12	0.7	-1	0	0	-12.33	187.80	
20	2910.10	16.464	3.9	1.25	56.05	-0.883	-1.645	0	0	3.68	2.27	1.1	-1	0	0	-3.58	580.50	
21	3123.15	20.246	2.25	6.35	112.95	-0.14	-0.783	0	0	1.76	4.7	1.4	-1	0	0	-9.19	179.15	
22	3289.70	47.996	1.95	5.1	219.47	0.181	-1.013	0	0	1.41	4.84	1.4	-1	0	0	-27.23	345.70	
23	3327.90	67.861	1.6	4.2	241.8	0.783	1.585	0	0	0.64	3.44	1	-1	0	0	-84.87	383.90	
24	3459.10	21.309	4.8	4.75	120.65	-2.488	-1.114	0	0	4.45	4.31	1.6	-1	0	0	-3.83	515.10	
25	4127.20	23.587	2.7	3.65	85.71	-0.462	3.12	0	0	2.57	1.22	0.2	-1	0	0	-7.34	568.80	
26	4143.90	27.219	2.05	7.5	192.22	0.843	3.12	0	0	1.89	8.29	1.45	-1	0	0	-11.53	585.50	
27	4147.20	11.738	1.25	0.3	13.5	-13.845	3.12	0	0	0.83	0.7	0.45	-1	0	0	-11.28	588.80	
28	4157.85	30.439	1.85	4.45	108.81	-0.04	3.12	0	0	1.23	4.22	0.65	-1	0	0	-19.85	599.45	
29	4181.20	14.989	0.4	2.5	29	-3.913	-0.622	0	0	0.32	1.39	0.25	-1	0	0	-37.69	8.40	
30	4199.40	11.999	1.05	0.65	13.03	-4.595	-1.053	0	0	0.93	1.05	0.95	-1	0	0	-10.32	26.60	
31	4255.80	30.399	2.45	3.3	123.45	0.15	-0.642	0	0	2.29	4.78	2	-1	0	0	-10.64	83.00	
32	4299.65	21.711	2.5	5.25	104	3.732	0.873	0	0	2.28	2.15	1.85	-1	0	0	-7.61	126.85	
33	4544.45	16.755	2.35	2.7	47.62	1.665	-1.856	0	0	1.66	2.4	0.6	-1	0	0	-8.07	371.65	
34	4573.05	20.406	1.15	1.9	41.55	-1.043	-0.381	0	0	1.02	1.3	0.35	-1	0	0	-16.07	400.25	
35	4624.80	13.845	2.1	0.85	27.26	-0.311	-2.077	0	0	2.01	1.2	0.4	-1	0	0	-5.5	452.00	
36	4721.70	33.92	3.95	4.75	175.57	2.398	1.816	0	0	3	5.4	2.35	-1	0	0	-9.04	548.90	
37	4737.20	25.975	1.15	2.7	61.56	0.722	1.816	0	0	0.6	1.74	0.55	-1	0	0	-34.55	564.40	
38	4859.90	25.453	2.05	4.15	95.43	-2.087	-0.361	0	0	1.72	3.94	1.4	-1	0	0	-11.84	72.70	
39	5144.35	25.332	3.4	5.4	137.8	1.846	-1.415	0	0	2.69	5.07	1.95	-1	0	0	-7.52	357.15	
40	5173.50	57.537	2.7	5.55	274.56	-4.023	1.986	0	0	2.28	4.64	0.75	-1	0	0	-20.17	386.30	
41	5222.75	21.781	1.1	4.95	88.78	-3.802	-0.873	0	0	0.97	3.37	0.65	-1	0	0	-18.01	435.55	
42	5479.70	26.105	1.7	4.4	103.49	-0.803	-0.361	0	0	1.49	4.37	0.9	-1	0	0	-13.98	78.10	
43	5659.40	56.233	3.6	4.35	257.68	-2.257	0.11	0	0	1.04	4.49	1.7	-1	0	0	-43.12	257.80	
44	5755.90	16.574	2.25	1.95	48.98	-1.916	3.632	0	0	1.99	2.61	1.8	-1	0	0	-6.65	354.30	
45	6000.05	13.905	0.9	1.9	24.86	-1.304	-5.066	0	0	0.69	1.24	0.6	-1	0	0	-16.13	598.45	
