500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1	497.65	19.104	0.8	3.75	58.97	-13.489	-0.061	0	0	0.65	3.4	0.6	-1	0	0	-23.52	497.65	
2	739.15	10.864	1.25	3.1	27.23	-13.794	1.953	0	0	1.14	0.96	0.6	-1	0	0	-7.64	124.75	
3	1063.75	17.334	2.2	7	106.3	-12.268	-0.366	0	0	2.07	5.37	1.1	-1	0	0	-6.7	449.35	
4	1285.70	9.46	2.2	1.55	22.17	-12.39	-0.183	0	0	2.06	2.62	1.15	-1	0	0	-3.68	56.90	
5	3722.35	11.963	3.15	0.65	26.26	-12.756	2.38	0	0	2.95	2.55	2.1	-1	0	0	-3.25	35.95	
6	4109.60	10.193	1.6	4.2	41.98	-11.963	-0.671	0	0	1.48	4.59	0.55	-1	0	0	-5.5	423.20	
7	5652.85	9.155	0.9	3.1	26.17	-11.23	-1.038	0	0	0.74	0.93	0.75	-1	0	0	-9.88	123.25	
8	7665.55	15.564	2.85	4.35	70.47	-9.521	0.244	0	0	2.22	4.57	1.7	-1	0	0	-5.61	292.75	
9	8703.70	11.597	3.1	3.2	42.43	-14.099	-0.61	0	0	2.46	1.53	1	-1	0	0	-3.77	102.10	
10	8812.60	12.085	2.85	0.2	18.77	-10.498	-1.404	0	0	2.53	0.54	0.45	-1	0	0	-3.82	211.00	
11	9376.25	14.465	4.15	3.2	58.6	-11.841	0	0	0	3.91	0.45	0.15	-1	0	0	-2.96	160.25	
12	9782.80	9.949	1.55	2.7	25.88	-10.071	2.319	0	0	1.43	1.78	1.1	-1	0	0	-5.56	566.80	
13	10166.30	12.939	4.75	2.2	60.47	-12.878	0.061	0	0	4.34	4.43	4.35	-1	0	0	-2.39	335.90	
14	10582.05	11.78	1.95	3.65	37.3	-12.878	-1.099	0	0	1.82	2.06	0.6	-1	0	0	-5.19	137.25	
15	11329.90	14.954	3.85	3.75	68.25	-11.475	0.488	0	0	3.71	2.51	2.1	-1	0	0	-3.23	270.70	
16	13550.15	13.123	1.25	3.65	43.45	-12.268	-0.549	0	0	1.11	1.81	1.15	-1	0	0	-9.49	33.35	
17	14256.30	13.916	2.9	4.05	61.63	-11.414	-0.977	0	0	2.75	4.42	1.15	-1	0	0	-4.04	125.10	
18	15809.85	13	1.85	6.9	81.28	-12.573	2.869	0	0	1.72	5.25	1.15	-1	0	0	-6.06	449.85	
19	18184.50	22.949	3.7	6.85	150.47	-12.207	-1.77	0	0	3.08	7.45	2.6	-1	0	0	-5.96	366.90	
20	18950.70	23.376	1.25	5.5	101.72	-13.489	-0.61	0	0	1.11	3.91	1.15	-1	0	0	-16.92	518.70	
21	19513.10	30.457	3.85	2.65	137.16	-11.23	-0.61	0	0	3.75	4.65	3.7	-1	0	0	-6.49	466.70	
22	19745.55	25.574	1	4.75	98.98	-11.841	-2.136	0	0	0.87	4.13	0.65	-1	0	0	-23.64	84.75	
23	20636.00	9.094	2.3	0.15	13.28	-12.024	-1.465	0	0	2.2	0.24	0.15	-1	0	0	-3.31	360.80	
24	21122.00	13.245	2.5	1.9	35.2	-11.169	0.61	0	0	2.41	0.76	0.15	-1	0	0	-4.4	232.40	
25	23065.80	13.733	2.15	2.5	39.51	-12.451	-0.671	0	0	1.8	1.9	1.8	-1	0	0	-6.12	333.00	
26	23229.50	9.094	2.15	4.45	38.41	-10.864	-2.563	0	0	2.06	1.23	0.55	-1	0	0	-3.53	496.70	
27	24300.85	31.921	2.95	5.45	184.29	-11.719	1.343	0	0	2.55	5.5	2.15	-1	0	0	-10.01	339.25	
28	24377.30	18.799	3.7	5.75	109.41	-10.864	-1.16	0	0	3.55	2.8	1.75	-1	0	0	-4.23	415.70	
29	24942.25	12.634	2.4	2.65	42.32	-9.827	0.305	0	0	2.26	3.55	1.85	-1	0	0	-4.47	366.25	
30	25219.10	21.057	0.55	3.55	52.99	-11.658	1.099	0	0	0.44	2.8	0.4	-1	0	0	-38.11	28.70	
31	25435.00	21.179	2.45	5.75	114.54	-9.033	-1.221	0	0	2.09	5.12	1.85	-1	0	0	-8.1	244.60	
32	26747.65	26.917	1.75	4.9	117.12	-11.597	2.014	0	0	0.82	4.72	1.4	-1	0	0	-26.18	328.45	
33	27495.95	13.611	1.2	5.3	55.09	-10.193	-0.977	0	0	0.9	3.95	0.45	-1	0	0	-12.03	462.35	
34	30654.00	18.799	3.3	3.8	88.57	-10.559	-0.061	0	0	3.11	4.51	2.1	-1	0	0	-4.84	548.40	
35	31969.45	19.043	2.95	5.1	90.91	-10.254	0.061	0	0	2.53	4.98	1.8	-1	0	0	-6.02	20.65	
